"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"DLTIF: Deep Learning-Driven Cyber Threat Intelligence Modeling and Identification Framework in IoT-Enabled Maritime Transportation Systems","P. Kumar; G. P. Gupta; R. Tripathi; S. Garg; M. M. Hassan","Department of Information Technology, National Institute of Technology Raipur, Raipur, India; Department of Information Technology, National Institute of Technology Raipur, Raipur, India; Department of Information Technology, National Institute of Technology Raipur, Raipur, India; Electrical Engineering Department, École de Technologie Supérieure, Université du Québec, Montreal, Canada; College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia",IEEE Transactions on Intelligent Transportation Systems,"8 Feb 2023","2023","24","2","2472","2481","The recent burgeoning of Internet of Things (IoT) technologies in the maritime industry is successfully digitalizing Maritime Transportation Systems (MTS). In IoT-enabled MTS, the smart maritime objects, infrastructure associated with ship or port communicate wirelessly using an open channel Internet. The intercommunication and incorporation of heterogeneous technologies in IoT-enabled MTS brings opportunities not only for the industries that embrace it, but also for cyber-criminals. Cyber Threat Intelligence (CTI) is an effective security strategy that uses artificial intelligence models to understand cyber-attacks and can protect data of IoT-enabled MTS proficiently. Unsurprisingly, most of the existing CTI-based solutions uses manual analysis to extract relevant threat information, and has low detection and high false alarm rate. Therefore, to tackle aforementioned challenges, an automated framework called DLTIF is developed for modeling cyber threat intelligence and identifying threat types. The proposed DLTIF is based on three schemes: a deep feature extractor (DFE), CTI-driven detection (CTIDD) and CTI-attack type identification (CTIATI). The DFE scheme automatically extracts the hidden patterns of IoT-enabled MTS network and its output is used by CTIDD scheme for threat detection. The CTIATI scheme is designed to identify the exact threat types and to assist security analysts in giving early warning and adopt defensive strategies. The proposed framework has obtained upto 99% accuracy, and outperforms some traditional and recent state-of-the-art approaches.","1558-0016","","10.1109/TITS.2021.3122368","King Saud University, Riyadh, Saudi Arabia, through the Researchers Supporting Project(grant numbers:RSP-2021/18); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9617134","Cyber-attack;cyber threat intelligence;deep learning;the Internet of Things (IoT);maritime transportation systems (MTS);threat type identification","Feature extraction;Logic gates;Hidden Markov models;Data mining;Data models;Internet of Things;Analytical models","","44","","39","IEEE","16 Nov 2021","","","IEEE","IEEE Journals"
"Event-Triggered Cooperative Formation Control for Autonomous Surface Vehicles Under the Maritime Search Operation","G. Zhang; S. Liu; X. Zhang; W. Zhang","Navigation College, Dalian Maritime University (DMU), Dalian, Liaoning, China; Navigation College, Dalian Maritime University (DMU), Dalian, Liaoning, China; Navigation College, Dalian Maritime University (DMU), Dalian, Liaoning, China; Department of Automation, Shanghai Jiao Tong University, Shanghai, China",IEEE Transactions on Intelligent Transportation Systems,"8 Nov 2022","2022","23","11","21392","21404","To improve the autonomy of maritime search and rescue (SAR) operation, this paper concentrates on the formation control problem for autonomous surface vehicles (ASVs) with the limited communication resource. A novel parallel search guidance, considering the maneuvering characteristics of ASVs, is developed to guide the formation to execute the automatic SAR operation. That can guarantee that the corresponding guidance law is highly efficient, self-driving and suitable for the large-scale formation. Combined with the guidance principle, a formation control algorithm is proposed by fuse of the event-triggered control and neural networks (NNs). In the proposed scheme, the gain uncertainty of actuators is effectively compensated requiring no prior information around the model structure. Unlike the existing results, the proposed event-triggered mechanism can activate synchronously both the controller and the NNs weight estimator. Considerable effort has been made to guarantee the semi-global uniform ultimate bounded (SGUUB) stability. Finally, two examples are illustrated to verify the effectiveness of the algorithm.","1558-0016","","10.1109/TITS.2022.3181141","National Science Foundation of China(grant numbers:52171291,51909018); Liaoning BaiQianWan Talents Program(grant numbers:2021BQWB64); Science and Technology Innovation Fundation of Dalian City(grant numbers:2019J12GX026); Dalian Innovation Team Support Plan in the Key Research Field(grant numbers:2020RT08); Fundamental Research Funds for the Central Universities(grant numbers:3132022128); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9800919","Autonomous surface vehicle;event-triggered control;formation control;parallel search guidance;neural networks","Synthetic aperture radar;Actuators;Artificial neural networks;Marine vehicles;Uncertainty;Autonomous aerial vehicles;Propellers","","31","","47","IEEE","20 Jun 2022","","","IEEE","IEEE Journals"
"Maritime IoT: An Architectural and Radio Spectrum Perspective","J. Zhang; M. M. Wang; T. Xia; L. Wang","School of Internet of Things, Nanjing University of Posts and Telecommunications, Nanjing, China; School of Information Science and Engineering, Southeast University, Nanjing, China; Wireless Networking and Mobile Communications Group, School of Electronic and Optical Engineering, Nanjing University of Science and Technology, Nanjing, China; Wireless Networking and Mobile Communications Group, School of Electronic and Optical Engineering, Nanjing University of Science and Technology, Nanjing, China",IEEE Access,"28 May 2020","2020","8","","93109","93122","The concept of maritime Internet of Things is developed initially to modernize the maritime industries by the United Nations chartered International Maritime Organization under the name e-Navigation. At the heart of this concept is the maritime machine-type communication (MTC) technology. However, maritime MTC faces many unique challenges that are different from its land counterparts in many ways, rooted in the unique maritime environments, service requirements, and the radio spectrum. This paper presents the challenges and solutions from the perspective of architecture and radio spectrum with a focus on allocation, interference, and regulations, as well as management and sharing techniques.","2169-3536","","10.1109/ACCESS.2020.2990830","National Natural Science Foundation of China(grant numbers:61771128); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9079862","Maritime Internet of Things;maritime machine-type communication;radio spectrum;spectrum management;spectrum sharing;unified air interface","Internet of Things;Oceans;Artificial intelligence;Marine vehicles;Resource management;Wireless communication;Monitoring","","25","","37","CCBY","28 Apr 2020","","","IEEE","IEEE Journals"
"An Outlook on the Future Marine Traffic Management System for Autonomous Ships","M. Martelli; A. Virdis; A. Gotta; P. Cassarà; M. Di Summa","Department of Naval Architecture, Electrical, Electronics and Telecommunication Engineering (DITEN), University of Genoa, Genoa, Italy; Department of Information Engineering, University of Pisa, Pisa, Italy; Institute of Information Science and Technologies “Alessandro Faedo,” National Research Council, Pisa, Italy; Institute of Information Science and Technologies “Alessandro Faedo,” National Research Council, Pisa, Italy; National Research Council, Institute of Intelligent Industrial Technologies and Systems for Advanced Manufacturing, Bari, Italy",IEEE Access,"2 Dec 2021","2021","9","","157316","157328","In the shipping digitalisation process, the peak will be reached with the advent of a wholly autonomous and at the same time safe and reliable ship. Full autonomy could be obtained by two linked Artificial-Intelligence systems representing the ship navigator and the ship engineer that possess sensing and analysis skills, situational awareness, planning, and control capabilities. Many efforts have been made in developing onboard systems; however, the shore facilities are not ready yet to deal with these new technologies. The paper aims to present the innovative technologies and methodologies needed to develop a futuristic Vessel Traffic System. The proposed systems will aim at faultless data acquisition and processing, provide input to decision-making systems, and suggest evasive manoeuvre; to deal with hazards and systems failure without human intervention onboard. The system is composed of three different and interacting layers. The first is an artificially intelligent tool to detect and control autonomous ships, thanks to situation recognition and obstacle avoidance strategies. The second is an orchestration and management platform designed to coordinate the sensing/actuation infrastructure and the AI algorithms’ results made available by multiple ships, mustering edge, and distributed computing techniques to fulfil the specific harsh requirements of the sea environment. The final part is a holistic guidance-navigation-control framework to manage autonomous ships’ navigation in a crowded area. Eventually, a cyber-physical scenario, using both a ship digital-twin and a real model-scale ship, is suggested to test and validate the innovative system without the availability of a full-scale scenario.","2169-3536","","10.1109/ACCESS.2021.3130741","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9627122","Autonomous navigation;control;guidance;navigation;vessel traffic system","Marine vehicles;Navigation;Safety;Sensors;Reliability;Protocols;Tools","","21","","72","CCBYNCND","25 Nov 2021","","","IEEE","IEEE Journals"
"Multi-Armed Bandits Learning for Task Offloading in Maritime Edge Intelligence Networks","T. Yang; S. Gao; J. Li; M. Qin; X. Sun; R. Zhang; M. Wang; X. Li","Navigation College, Dalian Maritime University, Dalian, China; Navigation College, Dalian Maritime University, Dalian, China; Navigation College, Dalian Maritime University, Dalian, China; Shenzhen Pengcheng Laboratory, Shenzhen, China; Navigation College, Dalian Maritime University, Dalian, China; Department of Electrical and Computer Engineering, Miami University, Oxford, OH, USA; Department of Electrical and Computer Engineering, Miami University, Oxford, OH, USA; Unmanned Systems Research Center, National Innovation Institute of Defense Technology, Academy of Military Science, Beijing, China",IEEE Transactions on Vehicular Technology,"2 May 2022","2022","71","4","4212","4224","In the context of complex and dynamic marine environment, the offloading of computing tasks for ships of Internet of Things (IoT) users is a very challenging problem considering the different quality of service (QoS) requirements of maritime applications. Mobile edge computing driven by powerful computing capability and edge intelligence is taken as a promising solution, especially for the resource-constrained and delay-sensitive maritime IoT users. In this paper, we study the optimal edge server selection problem for ship IoT users to jointly minimize the latency and energy consumption for task offloading. Specifically, we first propose a novel space-air-ground-edge (SAGE) integrated maritime network architecture to offload computation-intensive IoT services at sea. Then, the latency and energy consumption of data transmission and processing during offloading are modelled. Based on the models, the edge server selection problem is formulated into a Multi-Armed Bandits learning problem, with considering the task latency requirement and energy budget. To achieve the optimal solution, a novel algorithm, referred to as UCB1-ESSS, is developed, which links the latency, energy consumption, and network constraints by introducing both reward and cost. The simulation results show that the proposed algorithm can achieve considerably lower offloading latency and weighted latency-energy cost compared with the traditional algorithms under different QoS requirements, which proves the efficacy of theproposed algorithm.","1939-9359","","10.1109/TVT.2022.3141740","National Defense Foundation Strengthening Plan(grant numbers:2020-JCJQ-ZD-020-05); National Defense Technology Innovation Research Institute(grant numbers:2020KCYWXGK4098); Liaoning Province(grant numbers:XLYC1807149); National Key Research and Development Program of China(grant numbers:2020YFB1806800); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9677894","Computing offloading;edge intelligence;maritime wireless networks;multi-armed bandits;marine ship IoT users","Servers;Internet of Things;Marine vehicles;Task analysis;Energy consumption;Delays;Computational modeling","","20","","42","IEEE","11 Jan 2022","","","IEEE","IEEE Journals"
"Behavior-Based Formation Control Digital Twin for Multi-AUG in Edge Computing","J. Wen; J. Yang; Y. Li; J. He; Z. Li; H. Song","School of Electrical and Information Engineering, Tianjin University, Tianjin, China; School of Electrical and Information Engineering, Tianjin University, Tianjin, China; School of Electrical and Information Engineering, Tianjin University, Tianjin, China; School of Electrical and Information Engineering, Tianjin University, Tianjin, China; School of Electrical and Information Engineering, Tianjin University, Tianjin, China; Department of Electrical Engineering and Computer Science, Embry-Riddle Aeronautical University, Daytona Beach, FL, USA",IEEE Transactions on Network Science and Engineering,"20 Sep 2023","2023","10","5","2791","2801","The new generation of artificial intelligence technology has improved the autonomous monitoring capabilities of marine equipment. The ocean monitoring platform based on edge computing realizes the autonomous collaboration of multi-agent equipment groups. Autonomous Underwater Glider (AUG) is a new type of energy-saving marine equipment that can realize long-range ocean exploration. However, the non-negligible power constraints, time delays, communication failures and other unfavorable factors in the special underwater working environment have brought great challenges to the underwater monitoring operations of multi-AUG systems. This research establishes an improved artificial potential field method scheme based on the Maritime Internet of Things, which is based on the AUG leader's edge device to control multi-AUGs. In this process, an improved artificial potential field method is designed to solve the local optimal problem through behavior-based path optimization. Then, multi-AUGs are controlled to adapt to the task team plan based on the edge computing of the AUG leader. From the experimental results, it effectively realizes the AUG group cooperative control in the leader mode. Meanwhile, we established a marine communication model and AUG physics engine control model to complete a digital twin of multi-AUG monitoring tasks.","2327-4697","","10.1109/TNSE.2022.3198818","China Postdoctoral Science Foundation(grant numbers:2021M702441); National Natural Science Foundation of China(grant numbers:61871283); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9863641","Digital twin;multi-AUG cooperative;AUG behavior;maritime communication;path planning","Digital twins;Monitoring;Edge computing;Behavioral sciences;Computational modeling;Ocean temperature;Task analysis","","18","","43","IEEE","19 Aug 2022","","","IEEE","IEEE Journals"
"Attribute-Based Secure Data Aggregation for Isolated IoT-Enabled Maritime Transportation Systems","C. Wang; J. Shen; P. Vijayakumar; B. B. Gupta","Jiangsu Engineering Center of Network Monitoring, Nanjing University of Information Science & Technology, Nanjing, China; Jiangsu Engineering Center of Network Monitoring, Nanjing University of Information Science & Technology, Nanjing, China; Department of Computer Science and Engineering, University College of Engineering Tindivanam, Tindivanam, India; Department of Computer Engineering, National Institute of Technology Kurukshetra, Kurukshetra, Haryana, India",IEEE Transactions on Intelligent Transportation Systems,"8 Feb 2023","2023","24","2","2608","2617","With global economic integration, transnational trade plays an important role, and maritime transportation is one of the important means of freight transportation. It is of great significance to build a secure and efficient maritime transportation system (MTS). The introduction of Internet of things technology makes MTS more perfect. The IoT-enabled MTS is composed of marine terminals and on-board sensors, land-based data centers and base stations, as well as satellite networks. Many researchers have carried out significant work to aggregate data in MTS. However, because the terrestrial base stations cannot cover most of the sea area, the isolated maritime terminals, those who drive to the area without base station coverage, need the assistance of satellite networks to complete the contact with the data center. In this paper, we propose an attribute based secure data aggregation scheme for isolated IoT-enabled MTS. In the novel scheme, the constant attributes of a maritime terminal are utilized to generate its certification. In addition, on-board sensors are introduced in the system to help aggregate the status and surrounding environment of the maritime terminal. These monitoring data are encrypted by the sensors and transmitted to the data center for the trustworthiness evaluation of the isolated maritime terminal. Besides, the zero-knowledge proof is utilized to confirm the legitimacy of participating users. What’s more, the security analysis and the simulation results show that the novel scheme is secure and efficient for IoT-enabled MTS.","1558-0016","","10.1109/TITS.2021.3127436","National Natural Science Foundation of China(grant numbers:61922045,U1836115); Natural Science Foundation of Jiangsu Province(grant numbers:BK20181408); State Scholarship Fund by the China Scholarship Council(grant numbers:202008320536); Opening Project of Guangdong Key Laboratory of Data Security and Privacy Protection(grant numbers:2017B030301004); PAPD Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9632272","IoT-enabled maritime transportation system;attribute-based data aggregation;zero-knowledge proof;on-board sensors","Transportation;Data aggregation;Security;Satellites;Data centers;Monitoring;Base stations","","18","","38","IEEE","1 Dec 2021","","","IEEE","IEEE Journals"
"Building Resilience Through Foresight: The Case of Maritime Container Shipping Firms","H. Bathke; C. Münch; H. A. von der Gracht; E. Hartmann","Friedrich-Alexander Universität Erlangen-Nürnberg, Nuremberg, Germany; Friedrich-Alexander Universität Erlangen-Nürnberg, Nuremberg, Germany; School of International Business and Entrepreneurship (SIBE), Steinbeis University, Herrenberg, Germany; Friedrich-Alexander Universität Erlangen-Nürnberg, Nuremberg, Germany",IEEE Transactions on Engineering Management,"4 Jun 2024","2024","71","","10534","10556","Maritime container shipping (MCS) firms represent the backbone of worldwide supply chains. Due to the emergence of global trends and disruptions, MCS firms increasingly face an uncertain environment. Consequently, MCS firms must develop dynamic capabilities to enable the reconfiguration of organizational resources for building resilience in a constantly changing business ecosystem. To create adequate dynamic capabilities, MCS firms need to anticipate the future of their macro environment through advanced foresight techniques. Using a Delphi-based scenario analysis, this study systematically examines scenarios for MCS firms’ macro environment. Twelve projections for the MCS industry were systematically created and were then assessed by 51 maritime experts. The resulting three distinct scenarios deliver valuable insights for MCS firms’ executives, whereas the blockchains and drones technology will have already increased efficiency in the short-term scenario “picking the low-hanging fruit,” other technological disruptions will only affect the industry in the medium-term scenario “experiencing an era of dichotomy.” In the long-term scenario “overcoming the obstacles of the generational shift,” MCS firms will experience a transfer toward alternative fuel powered and autonomously driven vessels. Offering detailed scenarios for the future MCS macro environment, this study represents a guide for decision-makers on how to create dynamic capabilities in MCS firms to build resilience. Moreover, the results revealed differences in the experts’ assessments due to their characteristics. Therefore, the study contributes to the academic focus on in-depth diversity analysis in the Delphi methodology and emphasizes the relevance of incorporating multiple stakeholders and panelists in future planning.","1558-0040","","10.1109/TEM.2021.3137009","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9714458","COVID-19;Delphi;freight transportation;judgmental forecasting;maritime;scenarios;technology foresight","Containers;Supply chains;COVID-19;Uncertainty;Planning;Pandemics;Industries;Bibliographies","","14","","286","IEEE","16 Feb 2022","","","IEEE","IEEE Journals"
"Application Research of Tethered UAV Platform in Marine Emergency Communication Network","Z. Xu","QingDao Jari Automation Company LTD., Shandong, China",Journal of Web Engineering,"22 Sep 2023","2021","20","2","491","511","In order to meet the needs of emergency communication for major emergency disaster rescue, a wireless emergency communication relay system based on tethered UAV platform is studied. From the perspective of practical application, the characteristics and network coverage of the emergency communication system are analyzed. The mooring UAV platform is equipped with various communication loads such as MESH (wireless grid network communication), 4G-LTE (Long term evolution fourth generation mobile communication) base station, AIS (Automatic Identification System) and so on, which are kept on the communication support ship. When the communication support ship enters the scene of maritime emergencies, the tethered UAV platform lifts off, stays for a long time and realizes the relay communication service of various carriers within a radius of tens of kilometers through its various communication payloads, which provides key communication support for the Marine emergency communication network. The actual field test of the prototype system shows that the data transmission is stable and reliable, and the short message transmission is normal, which can meet the emergency communication demand of disaster rescue.","1544-5976","","10.13052/jwe1540-9589.20212","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10247316","Tethered UAV platform;communication support ship;command and communication ship;communication load;repeater communication;emergency communication network;MESH;AIS","Wireless communication;Communication equipment;Resistance;Rain;Prototypes;Autonomous aerial vehicles;Communication networks","","4","","23","","22 Sep 2023","","","River Publishers","River Publishers Journals"
"Application Research of Parameter Uncertainty Optimization Method in Steering Detection and Correction System","J. Yang; M. Xu; L. Ma; F. Chang; W. Wu","School of Information Science and Engineering, Zhejiang Sci-Tech University, Ningbo, Zhejiang, China; School of Information Science and Engineering, NingboTech University, Ningbo, China; School of Information Science and Engineering, NingboTech University, Ningbo, China; Ningbo Innovation Center, Zhejiang University, Ningbo, China; Ningbo Special Equipment Inspection and Research Institute, Ningbo, China",IEEE Journal of Radio Frequency Identification,"26 Jul 2024","2024","8","","665","670","A novel heading angle detection and compensation method is presented with the aim of addressing the navigation and localization accuracy challenges that unmanned robots encounter in their daily inspection jobs, thereby significantly raising the bar for smart port building and promoting the development of ports of superior quality. The Extended Kalman Filter (EKF) algorithm and a Global Navigation Satellite System (GNSS) Inertial Navigation System (INS)/Magnetometer combination navigation technology form the basis of this strategy. The suggested deviation detection and compensating method greatly enhances the navigation system’s performance when compared to the conventional EKF algorithm. Furthermore, we improved the navigation system’s ability to adapt to complex surroundings and sudden changes by adding the Particle Swarm Optimization (PSO) algorithm to the process. This allowed us to further optimize the system parameters based on the original innovation. This development is critical to enhancing unmanned robot navigation accuracy at smart ports and providing robust technical support for the growth of port automation and intelligence.","2469-7281","","10.1109/JRFID.2024.3392444","Ningbo Key Research and Development Program(grant numbers:2023Z131,2023Z116); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10506792","Combinatorial navigation;extended Kalman filter;steering detection and compensation;PSO","Navigation;Magnetometers;Kalman filters;Global navigation satellite system;Magnetic separation;Vectors;Mathematical models","","","","24","IEEE","22 Apr 2024","","","IEEE","IEEE Journals"
"AMANet: Advancing SAR Ship Detection With Adaptive Multi-Hierarchical Attention Network","X. Ma; J. Cheng; A. Li; Y. Zhang; Z. Lin","Army Engineering University of PLA, Shijiazhuang Campus, Shijiazhuang, China; School of Automation, Northwestern Polytechnical University, Xi’an, China; Army Engineering University of PLA, Shijiazhuang Campus, Shijiazhuang, China; Army Engineering University of PLA, Shijiazhuang Campus, Shijiazhuang, China; Army Engineering University of PLA, Shijiazhuang Campus, Shijiazhuang, China",IEEE Access,"6 Aug 2024","2024","12","","105952","105967","Synthetic Aperture Radar (SAR) ship detection is crucial for maritime surveillance, environmental monitoring, and national security. Recently, methods based on deep learning have been successfully applied to ship detection for SAR images. Despite the development of numerous ship detection methodologies, detecting small and coastal ships remains a significant challenge due to the limited features and clutter in coastal environments. For that, a novel adaptive multi-hierarchical attention module (AMAM) is proposed to learn multi-scale features and adaptively aggregate salient features from various feature layers, even in complex environments. Specifically, we first fuse information from adjacent feature layers to enhance the detection of smaller targets, thereby achieving multi-scale feature enhancement. Then, to filter out the adverse effects of complex backgrounds, we dissect the previously fused multi-level features on the channel, individually excavate the salient regions, and adaptively amalgamate features originating from different channels. Thirdly, we present a novel adaptive multi-hierarchical attention network (AMANet) by embedding the AMAM between the backbone and the feature pyramid network (FPN). Besides, the AMAM can be readily inserted between different frameworks to improve object detection. Lastly, extensive experiments on two large-scale SAR ship detection datasets, namely the SSDD and HRSID, demonstrate that our AMANet method achieves superior performance over state-of-the-art methods, with an AP of 74.20% and 68.90% on the SSDD and HRSID datasets, respectively.","2169-3536","","10.1109/ACCESS.2024.3436591","National Natural Science Foundation of China(grant numbers:62171467); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10620176","SAR ship detection;adaptive multi-hierarchical attention;deep learning","Marine vehicles;Feature extraction;Radar polarimetry;Sea measurements;Adaptation models;Accuracy;Clutter;Deep learning;Synthetic aperture radar","","","","96","CCBYNCND","1 Aug 2024","","","IEEE","IEEE Journals"
"Safety-Critical Parallel Trajectory Tracking Control of Maritime Autonomous Surface Ships Based on Integral Control Barrier Functions","J. Xu; N. Gu; D. Wang; T. Li; B. Han; Z. Peng","School of Marine Electrical Engineering, Dalian Maritime University, Dalian, China; School of Marine Electrical Engineering, Dalian Maritime University, Dalian, China; School of Marine Electrical Engineering, Dalian Maritime University, Dalian, China; School of Automation Engineering, University of Electronic Science and Technology of China, Chengdu, China; College of Physics and Electronic Information Engineering, Minjiang University, Fujian, China; School of Marine Electrical Engineering, Dalian Maritime University, Dalian, China",IEEE Transactions on Intelligent Vehicles,"29 Jul 2024","2024","9","5","4979","4988","This article investigates the parallel trajectory tracking control of fully-actuated maritime autonomous surface ships (MASSs) in the presence of multiple stationary/moving ocean obstacles. A safety-critical parallel control architecture is proposed for the trajectory tracking control of MASSs. Specifically, an artificial MASS system is constructed based on a data-driven learning predictor where real-time and historical navigation data are both utilized to achieve the estimation of the unknown weights of Taylor polynomials and Fourier series. Then, a parallel trajectory tracking control law is designed based on the artificial system such that the MASS is capable of track the reference trajectory positively. Finally, integral control barrier functions are employed to encode input and safety constraints. A safety optimization signal is augmented to the designed parallel control law to achieve the collision avoidance of all ocean obstacles. Based on the stability and safety analyses, the tracking errors of the actual MASS system are verified to be uniformly ultimately bounded and the MASS system is safe. Numerical examples confirm the effectiveness of the designed safety-critical parallel trajectory tracking control scheme for the MASS.","2379-8904","","10.1109/TIV.2024.3361477","National Key R&D Program of China(grant numbers:2022ZD0119902); National Natural Science Foundation of China(grant numbers:52071044,51939001); Dalian High-level Talents Innovation Support Program(grant numbers:2022RQ010); Key Basic Research of Dalian(grant numbers:2023JJ11CG008); Natural Science Foundation of Fujian Province of China(grant numbers:2022J011128); Shanghai Science and Program of Shanghai Academic/Technology Research Leader(grant numbers:23XD1431000); Fundamental Research Funds for the Central Universities(grant numbers:3132023508); Postdoctoral Research Foundation of China(grant numbers:2022M720619); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10418986","Artificial system;integral control barrier functions;maritime autonomous surface ships;parallel trajectory tracking control","Trajectory tracking;Safety;Marine vehicles;Trajectory;Intelligent vehicles;Sea surface;Collision avoidance","","","","53","IEEE","2 Feb 2024","","","IEEE","IEEE Journals"
"Tensor-Based Secure Truthful Incentive Mechanism for Mobile Crowdsourcing in IoT-Enabled Maritime Transportation Systems","R. Zhao; L. T. Yang; D. Liu; X. Deng; X. Tang; S. Garg","School of Computer and Artificial Intelligence, Zhengzhou University, Zhengzhou, China; Hubei Key Laboratory of Distributed System Security, Hubei Engineering Research Center on Big Data Security, School of Cyber Science and Engineering, Huazhong University of Science and Technology, Wuhan, China; School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; Hubei Key Laboratory of Distributed System Security, Hubei Engineering Research Center on Big Data Security, School of Cyber Science and Engineering, Huazhong University of Science and Technology, Wuhan, China; Hubei Key Laboratory of Distributed System Security, Hubei Engineering Research Center on Big Data Security, School of Cyber Science and Engineering, Huazhong University of Science and Technology, Wuhan, China; École de Technologie Supérieure (ETS), Montreal, QC, Canada",IEEE Transactions on Intelligent Transportation Systems,"14 May 2024","2024","25","5","3341","3351","The evolution of the Internet of Things-enabled Maritime Transportation Systems (IoT-MTS) provides a sturdy data cornerstone for efficient maritime traffic scheduling and management. However, due to task heterogeneity and the limited computing power of individual vessels or stakeholders, although third-party clouds could provide powerful computing support for MTS, directly aggregating data from vessels to the cloud may cause privacy leakage and security concerns. Crowdsourcing as a newly distributed problem-solving paradigm could provide new solutions for conducting maritime big data computing, deep learning and sensing tasks by leveraging the crowd intelligence and computing power of vessels, but strong incentives are required to stimulate vessels to participate because of their selfishness and rationality. Nevertheless, existing incentives rarely consider the security problems caused by the man-in-the-middle attacks, honest-but-curious platform attacks and inference attacks simultaneously, and ignore the redundant winners and multi-attribute characteristics of participants. Toward this end, this paper proposes a tensor-based secure truthful incentive for IoT-MTS dubbed CrowdTensor to maximize the social welfare by eliminating redundant winners and meanwhile guaranteeing the desired economic properties, where the multi-attribute features and the complex association relationships of crowdsourcing systems are characterized by utilizing the tensor tool. A two-phase bid-preserving mechanism based on the cryptographic hash function and digital signature is introduced against malicious attacks. Both the rigorous theoretical analysis and extensive experimental results show that CrowdTensor outperforms other compared incentives and the desired properties can be achieved simultaneously.","1558-0016","","10.1109/TITS.2023.3300892","National Key Research and Development Program of China(grant numbers:2022ZD0118300); National Natural Science Foundation of China(grant numbers:61932010); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10473129","Internet of Things-enabled maritime transportation systems;crowdsourcing;tensor;honest-but-curious platform;truthful incentive","Crowdsourcing;Task analysis;Big Data;Tensors;Security;Stakeholders;Transportation","","","","23","IEEE","18 Mar 2024","","","IEEE","IEEE Journals"
