"Title","Subtitle","Author","Publication","SourceType","Publisher","Volume","Issue","PubDate","AlphaDate","StartPage","EndPage","PageRange","ISSN","EISSN","ISBN","Language","Abstract","DocumentUrl","DOI"
"Simulation of Handling Operations in Marine Container Terminals for the Purposes of a Profession Simulator","","Fedorko, Gabriel; Fedorko, Gabriel; Molnár, Vieroslav; Mikušová, Nikoleta; Strohmandl, Jan; Kižik, Tomáš","Journal of Marine Science and Engineering","Scholarly Journals","","11","12","2023-01-01","2023","2264","","","20771312","","","ENG","Marine container terminals play an irreplaceable role in modern logistics. They ensure the functioning of material flows and supply chains. Optimal and efficient operations of terminals are increasingly based on full or partial automation. As a result, the expertise and skill prerequisites for service personnel and managers are increasing. This paper presents an original idea of creating a “profession simulator”. Its principle is based on the application of a dynamic computer simulation method. The results represent a generally valid concept for a “profession simulator” that can be calibrated for any container terminal. Within this concept, the inputs, outputs, and processes that take place in the profession simulator are defined. The simulation model is created with the Tecnomatix Plant Simulation program. Mathematical models are implemented for all individual processes in the simulation model. A programming method using the SimTalk 2.0 language is used for their implementation. The obtained results point to the possibility of using the profession simulator to analyze and monitor selected indicators regarding handling techniques, the utilization of maritime terminals, information about the number of transported containers, or the implementation of handling activities.","https://www.proquest.com/docview/2904762014?accountid=44943&bdid=84593&_bd=SPvikjp4k1kYs3YhwGiGOadj5AY%3D","https://doi.org/10.3390/jmse11122264"
"Survey on the Developments of Unmanned Marine Vehicles: Intelligence and Cooperation","","Bae, Inyeong; Hong, Jungpyo","Sensors","Scholarly Journals","","23","10","2023-01-01","2023","4643","","","14248220","","","ENG","With the recent development of artificial intelligence (AI) and information and communication technology, manned vehicles operated by humans used on the ground, air, and sea are evolving into unmanned vehicles (UVs) that operate without human intervention. In particular, unmanned marine vehicles (UMVs), including unmanned underwater vehicles (UUVs) and unmanned surface vehicles (USVs), have the potential to complete maritime tasks that are unachievable for manned vehicles, lower the risk of man power, raise the power required to carry out military missions, and reap huge economic benefits. The aim of this review is to identify past and current trends in UMV development and present insights into future UMV development. The review discusses the potential benefits of UMVs, including completing maritime tasks that are unachievable for manned vehicles, lowering the risk of human intervention, and increasing power for military missions and economic benefits. However, the development of UMVs has been relatively tardy compared to that of UVs used on the ground and in the air due to adverse environments for UMV operation. This review highlights the challenges in developing UMVs, particularly in adverse environments, and the need for continued advancements in communication and networking technologies, navigation and sound exploration technologies, and multivehicle mission planning technologies to improve UMV cooperation and intelligence. Furthermore, the review identifies the importance of incorporating AI and machine learning technologies in UMVs to enhance their autonomy and ability to perform complex tasks. Overall, this review provides insights into the current state and future directions for UMV development.","https://www.proquest.com/docview/2819479836?accountid=44943&bdid=84593&_bd=JuHCQDswqkbzGq07B2PMdseL53o%3D","https://doi.org/10.3390/s23104643"
"AI4SeaIce: selecting loss functions for automated SAR sea ice concentration charting","","Kucik, Andrzej; Stokholm, Andreas","Scientific Reports (Nature Publisher Group)","Scholarly Journals","","13","1","2023-01-01","2023","5962","","5962","20452322","","","ENG","For maritime navigation in the Arctic, sea ice charts are an essential tool, which still to this day is drawn manually by professional ice analysts. The total Sea Ice Concentration (SIC) is the primary descriptor of the charts and indicates the fraction of ice in an ocean surface area. Naturally, automating the SIC chart creation is desired. However, the optimal representation of the corresponding machine-learning task is ambivalent and discussed in the community. In this study, we explore the representation with either regressional or classification objectives, each with two different (weighted) loss functions: Mean Square Error and Binary Cross-Entropy, and Categorical Cross-Entropy and the Earth Mover’s Distance, respectively. While all models achieve good results they differ as the regression-based models obtain the highest numerical similarity to the reference charts, whereas the classification-optimised models generate results more visually pleasing and consistent. Rescaling the loss functions with inverse class weights improves the performance for intermediate classes at the expense of open water and fully-covered sea ice areas.","https://www.proquest.com/docview/2799931667?accountid=44943&bdid=84593&_bd=vHm1tuMJoh3Mf5Rb2aDZIt05Y%2FQ%3D","https://doi.org/10.1038/s41598-023-32467-x"
"Marine Vessel Classification and Multivariate Trajectories Forecasting Using Metaheuristics-Optimized eXtreme Gradient Boosting and Recurrent Neural Networks","","Petrovic, Aleksandar; Petrovic, Aleksandar; Damaševičius, Robertas; Damaševičius, Robertas; Damaševičius, Robertas; Jovanovic, Luka; Jovanovic, Luka; Toskovic, Ana; Toskovic, Ana; Simic, Vladimir; Simic, Vladimir; Bacanin, Nebojsa; Bacanin, Nebojsa; Zivkovic, Miodrag; Zivkovic, Miodrag; Spalević, Petar; Spalević, Petar","Applied Sciences","Scholarly Journals","","13","16","2023-01-01","2023","9181","","","20763417","","","ENG","Maritime vessels provide a wealth of data concerning location, trajectories, and speed. However, while these data are meticulously monitored and logged to maintain course, they can also provide a wealth of meta information. This work explored the potential of data-driven techniques and applied artificial intelligence (AI) to tackle two challenges. First, vessel classification was explored through the use of extreme gradient boosting (XGboost). Second, vessel trajectory time series forecasting was tackled through the use of long-short-term memory (LSTM) networks. Finally, due to the strong dependence of AI model performance on proper hyperparameter selection, a boosted version of the well-known particle swarm optimization (PSO) algorithm was introduced specifically for tuning the hyperparameters of the models used in this study. The introduced methodology was applied to real-world automatic identification system (AIS) data for both marine vessel classification and trajectory forecasting. The performance of the introduced Boosted PSO (BPSO) was compared to contemporary optimizers and showed promising outcomes. The XGBoost model tuned using boosted PSO attained an overall accuracy of 99.72% for the vessel classification problem, while the LSTM model attained a mean square error (MSE) of 0.000098 for the marine trajectory prediction challenge. A rigid statistical analysis of the classification model was performed to validate outcomes, and explainable AI principles were applied to the determined best-performing models, to gain a better understanding of the feature impacts on model decisions.","https://www.proquest.com/docview/2856791343?accountid=44943&bdid=84593&_bd=7wVOVsa3qlXYlb%2BhzWmIxQyvFQk%3D","https://doi.org/10.3390/app13169181"
"Smarthub for supervising system for resource exploration and pollution control in deep-water and coastal areas based on ICT technologies","","Reiskarts, Vladimirs; Savenkovs, Konstantins","Marine Economics and Management","Scholarly Journals","","6","1","2023-01-01","2023","23","34","23-34","2516158X","","","ENG","PurposeThis study aims to explore the need for highly technological complexes for control and monitoring, as well as, new concepts and methodologies for maritime resource exploration and exploitation, which are in great demand nowadays.Design/methodology/approachThis paper provides an analysis of demand, means of creation and development of the methodology and infrastructure for global monitoring, pollution control and supervision of smart systems for activities in exploration, future resource exploitation in deep-water and coastal areas based on Smarthub architecture, Unmanned Aircraft System (UAS), Continuous Acquisition and Life-Cycle Support (CALS) and Blockchain technologies.FindingsObservational, experimental, simulation, derivational, hybrid descriptive and analytical models, as well as, surrogate models were created, analyzed and implemented for assigned tasks realization. Concept of distributed system for marine environmental monitoring, control and supervising as pilot technology in the context of Technology Readiness Levels (TRL) 3–5 was designed and evaluated.Originality/valueThe activities described in this article should be realized in the design and development of a complex, reliable, robust and sustainable monitoring and inspection system for the control and evaluation of the impact and risk assessment of the exploration and future exploitation of maritime resources.","https://www.proquest.com/docview/2851948700?accountid=44943&bdid=84593&_bd=6U2d0acO4DwEOtbYPgdlPfmdY7A%3D","https://doi.org/10.1108/MAEM-02-2023-0002"
"Assessing carbon emissions reduction by incorporating automated monitoring system during transit: a case study","","Efimova, Anastasia; Saini, Mohan","Acta Logistica","Scholarly Journals","","10","1","2023-03-01","Mar 2023","79","88","79-88","13395629","","","ENG","The green concept in operations is becoming an inevitable part of global maritime logistics activities and has an important influence on the improvement of efficiency and environmental performance. This paper aims to assess the continuous monitoring and tracking of container shipments at the ports in order to reduce carbon emissions thus improving environmental performance. In this research, near real-time RFID data tracing and tracking container cargo are shared by the automated monitoring system. The collected data gathered via digitalization is further analyzed to ensure a greener maritime logistics system. The significant findings of the study for the literature show that the actual fuel consumption is reduced when automated monitoring systems are used at the ports (Ports and CFS (Container freight station)). The reduced fuel consumption during the transit between the ports and CFS has resulted in a reduction in carbon emissions of environmental performance. The results show a 6 % reduction in emissions from port to CFS and 23% from CFS to ports. Thus, effective practices in Green Logistics are considered to be beneficial for carbon emissions. These findings contribute to the understanding and development of effective strategies for logistic operations using technologies to create a green performance. The study was performed in a certain set of environmental dimensions and the results may vary depending on the organization, which can be studied further in future research.","https://www.proquest.com/docview/2792618922?accountid=44943&bdid=84593&_bd=zhGwraHWj6HOS9D11J%2F1UyP8DI4%3D","https://doi.org/10.22306/al.v10i1.357"
"Hybrid Approach to the Cost Estimation of External-Fleet Full Truckload Contracts","","Cyperski, Szymon; Domański, Paweł D; Domański, Paweł D; Okulewicz, Michał","Algorithms","Scholarly Journals","","16","8","2023-01-01","2023","360","","","19994893","","","ENG","Freight forwarding and transportation are the backbone of the modern economy. There are thousands of transportation companies on the market whose sole purpose is to deliver ordered goods from pickup to delivery. Transportation can be carried out by two types of fleets. A company can have its own trucks, or it can use third-party companies. This transportation can be carried out in a variety of formulas, with full truckload being the most common for long routes. The shipper must be aware of the potential cost of such a service during the process of selecting a particular transport. The presented solution addresses this exact issue. There are many approaches, ranging from detailed cost calculators to machine learning solutions. The present study uses a dedicated hybrid algorithm that combines different techniques, spanning clustering algorithms, regression and kNN (k Nearest Neighbors) estimators. The resulting solution was tested on real shipping data covering multi-year contract data from several shipping companies operating in the European market. The obtained results proved so successful that they were implemented in a commercial solution used by freight forwarding companies on a daily basis.","https://www.proquest.com/docview/2856753282?accountid=44943&bdid=84593&_bd=DjUMJv7DU0jhjCVvneL9jrZlYgE%3D","https://doi.org/10.3390/a16080360"
"Online Learning Probabilistic Event Calculus Theories in Answer Set Programming","","KATZOURIS, NIKOS; Paliouras, Georgios; Artikis, Alexander","Theory and Practice of Logic Programming","Scholarly Journals","","23","2","2023-03-01","Mar 2023","362","386","362-386","14710684","","","ENG","Complex Event Recognition (CER) systems detect event occurrences in streaming time-stamped input using predefined event patterns. Logic-based approaches are of special interest in CER, since, via Statistical Relational AI, they combine uncertainty-resilient reasoning with time and change, with machine learning, thus alleviating the cost of manual event pattern authoring. We present a system based on Answer Set Programming (ASP), capable of probabilistic reasoning with complex event patterns in the form of weighted rules in the Event Calculus, whose structure and weights are learnt online. We compare our ASP-based implementation with a Markov Logic-based one and with a number of state-of-the-art batch learning algorithms on CER data sets for activity recognition, maritime surveillance and fleet management. Our results demonstrate the superiority of our novel approach, both in terms of efficiency and predictive performance. This paper is under consideration for publication in Theory and Practice of Logic Programming (TPLP).","https://www.proquest.com/docview/2892364945?accountid=44943&bdid=84593&_bd=1QYHzDEdUGsHT%2FvHfMSv5OUjRsY%3D","https://doi.org/10.1017/S1471068421000107"
"Preface: ISPRS Geospatial Week 2023","","El-Sheimy, N; Abdelbary, A A; El-Bendary, N; Mohasseb, Y","ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences","Scholarly Journals","","X-1/W1-2023","","2023-01-01","2023","1151","1152","1151-1152","21949042","","","ENG","The International Society for Photogrammetry and Remote Sensing (ISPRS) Geospatial Week 2023 (GSW’2023) is a combination of 29 workshops organized by the ISPRS Working Groups active in areas of interest of ISPRS. The Geospatial Week 2023 is held from 2–7 September 2023, at the Semiramis Cairo Hotel, on the magnificent river Nile, Egypt, and is convened by the Arab Academy for Science, Technology & Maritime Transport (AASTMT) acting as the local organizer. The GSW’2023 is the first in Africa and the Middle East. The conference was chaired by Prof. Naser EL-Sheimy and Prof. Ismail Abdelgafhar (President of AASTMT) as the Honorary Chair and host of the conference under the Auspices of H.E. Professor Mostafa Madbouly, Prime Minister of the Arab Republic of Egypt. The GSW’2023 is the fifth edition, after, Antalya Turkey in 2013, La Grande Motte France in 2015, Wuhan China in 2017, and Enschede The Netherlands in 2019.The following 29 workshops provide state of the art and future trends in geospatial, sensors, photogrammetry, remote sensing, and spatial information sciences technologies in their applications in many industries and economic sectors:Cultural Heritage Visualization and Virtual RestorationSpACE – Spectral Remote Sensing in the era of AI, Cloud and Edge ComputingYouth Presentation ForumOpenness in Geospatial and Remote SensingPrecision GNSS: Technology Advances and Applications for Navigation and MappingPhotogrammetric 3D Reconstruction for Geo-Applications (PhotoGA 2023)Geospatial Data Analytics for Physical Geography Impact Assessment on Environment, Health andSocietyIntelligent Systems in Sensor Web and Internet of ThingsUnderwater Mapping Workshop: Geospatial techniques for underwater documentation, mapping andmonitoringSO&C: Sensor orientation and calibration for mapping and navigation purposesSmart Forests – Forest ecosystem assessment and monitoring using Remote Sensing, ArtificialIntelligence, and RoboticsSatellite Remote Sensing and Its ApplicationsAdvanced Data Preparation and Data Management for Geospatial and Remote Sensing ScenariosLaser Scanning 2023NGC of AV: Navigation, Guidance and Control of Autonomous VehiclesISSDQ 2023- Artificial Intelligence and Uncertainty Modeling in Spatial AnalysisSemantics3D – Semantic Scene Analysis and 3D Reconstruction from Images and Image SequencesGeoHB 2023: Geo-Spatial Computing for Understanding Human BehavioursGI4SDGs: The Geospatial Information and SDG NexusSARcon 2023 – SAR constellations and applicationsDigital ConstructionCrowdMapping: Crowdsourcing for Global MappingIndoor 3DIAMS – Intelligent and autonomous mapping systemsAI-PC: AI-based Point Cloud and Image UnderstandingUAV-based mapping with imaging and LiDAR systems: challenges, data processing, and applications3DS Smart Cities – 3D Sensing for Smart CitiesRobotics for Mapping – SLAM approaches for mobile mapping and robot intelligenceMMT and HD Maps – Mobile Mapping Technologies and HD MapsMany of the workshops are part of well-established series of workshops convened in the past. They cover topics like UAV for mapping, laser scanning, Semantics3D, SARcon, ISSDQ hyperspectral imaging, and crowd sourcing and collaborative mapping with applications ranging from indoor mapping, smart forest and smart cities to global mapping studies and planetary mapping. The conference also includes for the first-time few workshops organized by other working groups from sister organizations and the ISPRS youth forum.In total 172 full papers and 423 extended abstracts were submitted by authors from 68 countries. 1400 reviews have been delivered by 283 reviewers. A total of 137 full papers have been accepted for the volume X-1/W1-2023 of the ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences (ISPRS Annals). Another 260 papers are published in volume XLVIII-1/W2-2023 of The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences (ISPRS Archives).The editors would like to thank all contributing authors, reviewers and all workshop organizers for their role in preparing and organizing the Geospatial Week 2023. Thanks to their contributions, we can offer an excessive and varying collection in the Annals and the Archives.The editors would like to extend their great appreciation to the President of AASTMT Prof. Ismail Abdel Ghafar for his great support in hosting the ISPRS GSW’2023. We also would like to extend our thanks to the members of the local organizing committee for great effort in making GSW’2023 conference a success, namely, Prof. Amr Ali Hanafi, Prof. Ahmed Shaker, Research Eng. Ayman Elzagh, Dr. Mengchi Ai, Dr. Adel Moussa, Dr. Yiran Luo, Mr. Yasser Elrashidi, Eng. Nagy K. Aly, Prof. Amira Zaki, Dr. Radwa Osman, Eng. Mohamed ElQurashi and Mr. Mohamed Abdallah Mahmoud.We hope you enjoy reading the proceedings.Editor: Prof. Naser El-Sheimy, Geospatial Week Director 2023, General Chair (University of Calgary, Canada)Co-Editors, The Arab Academy for Science, Technology & Maritime Transport:Prof. Alaa Abdelwahed Abdelbary, Chair Local Organizing CommitteeProf. Nashwa El-BendaryProf. Yahya Mohasseb","https://www.proquest.com/docview/2900838583?accountid=44943&bdid=84593&_bd=WZ3eeg%2BaYAAHzpykUdqcxWS6ItA%3D","https://doi.org/10.5194/isprs-annals-X-1-W1-2023-1151-2023"
"THE INFLUENCE OF PERCEIVED PRICE AND QUALITY OF DELIVERY ON ONLINE REPEAT PURCHASE INTENTION: THE EVIDENCE FROM VIETNAMESE PURCHASERS","","Luc Phan Tan; Thu-Hang Le","Cogent Business & Management","Scholarly Journals","","10","1","2023-01-01","Jan 2023","","","","23311975","","","ENG","The purpose of this study is to explore the role of perceived price and delivery quality in influencing the repeat purchase intention through perceived value and consumer satisfaction. A total of 791 survey questionnaires were collected by the convenience sampling method from consumers who have previously purchased from the same online store. This study uses partial least squares to analyze data through SmartPLS 3.0 software. The data analysis procedure consists of assessing the reliability and validity of the measurement model and the evaluation of the structural model. The research results show that delivery quality and perceived price affect the perceived value and do not affect satisfaction. In contrast, perceived value directly affects repeat purchase intention and indirectly through satisfaction. Online stores should pay attention to order processing time, packaging time and cooperate with shipping companies to improve delivery quality. In addition, online stores should also have appropriate pricing policies to help increase perceived value and form repeat purchase intentions.","https://www.proquest.com/docview/2814203937?accountid=44943&bdid=84593&_bd=5pymyVLVvBBvQ4mchjC0cSUhyuQ%3D","https://doi.org/10.1080/23311975.2023.2173838"
"Adaptive Data Collection and Offloading in Multi-UAV-Assisted Maritime IoT Systems: A Deep Reinforcement Learning Approach","","Liang, Ziyi; Dai, Yanpeng; Dai, Yanpeng; Lyu, Ling; Lin, Bin","Remote Sensing","Scholarly Journals","","15","2","2023-01-01","2023","292","","","20724292","","","ENG","This paper studies the integration of data collection and offloading for maritime Internet of Things (IoT) systems with multiple unmanned aerial vehicles (UAVs). In the considered multi-UAV maritime IoT system, the UAVs act as the aerial base stations to complete the missions of data collection from buoys and data offloading to the offshore base station (OBS). In this case, the UAVs need to adaptively select the mission mode between data collection and data offloading according to the network resources and mission requirements. In this paper, we aimed to minimize the completion time of data collection and offloading missions for all UAVs by jointly optimizing the UAV trajectories, mission mode selection, transmit power of buoys, and association relationships between the UAVs and buoy/OBS. In order to solve the mixed-integer non-convex minimization problem, we first designed a multi-agent deep reinforcement learning algorithm based on a hybrid discrete and continuous action space to preliminarily obtain the UAV trajectories, mission mode selection, and the transmit power of buoys. Then, we propose an algorithm based on the stable marriage problem to determine the buoy–UAV and UAV–OBS association relationships. Finally, the simulation results show that the proposed algorithms can effectively shorten the total mission completion time of data collection and offloading for the multi-UAV-assisted maritime IoT system.","https://www.proquest.com/docview/2767301966?accountid=44943&bdid=84593&_bd=NF2oQ%2F1lOTKvbtSDGlqfpqbZq2A%3D","https://doi.org/10.3390/rs15020292"
"Artisanal Mining River Dredge Detection Using SAR: A Method Comparison","","Alessi, Marissa A; Alessi, Marissa A; Chirico, Peter G; Millones, Marco","Remote Sensing","Scholarly Journals","","15","24","2023-01-01","2023","5701","","","20724292","","","ENG","Challenges exist in monitoring artisanal and small-scale mining (ASM) activities, given their dynamic and often informal nature. ASM takes form through various techniques and scales, including riverine dredging, which often targets the abundant alluvial gold deposits in South America. Remote sensing offers a solution to improve data collection, regulation, and monitoring of the more mobile and elusive ASM activities and their impacts. Mapping ASM riverine dredges using Synthetic Aperture Radar (SAR) is one of the application areas least explored. Three semi-automated detection approaches using Sentinel-1 SAR are compared on their ability to identify dredges with minimal false positives. The methods are: (i) Search for Unidentified Maritime Objects (SUMO), an established method for large ocean ship detection; and two techniques specifically developed for riverine environments that are introduced in this paper: (ii) a local detection method; and (iii) a global threshold method. A visual interpretation of SAR data with the inclusion of optical high-resolution data are used to generate a validation dataset. Results show it is possible to semi-automatically detect riverine dredge using SAR and that a local detection method provides the best balance between sensitivity and precision and has the lowest risk of error. Future improvements may consider further automation, more discriminatory variables, and analyzing the methods in different environments and at higher spatial resolutions.","https://www.proquest.com/docview/2904925399?accountid=44943&bdid=84593&_bd=QPd%2BGn9zupEgtQ5Tmh1i7PDSwwU%3D","https://doi.org/10.3390/rs15245701"
"Towards a professional service: Improvement of infrastructures and facilities of traditional shipping business in Tanjung Emas Port, Semarang, Indonesia","","Prasetiawan, Andi","Aquaculture, Aquarium, Conservation & Legislation","Scholarly Journals","","16","2","2023-04-01","Apr 2023","780","787","780-787","18448143","","","ENG","Appropriate infrastructure and facilities are an important factor needed to support maritime transportation sector. This research was aimed to identify the availability, current condition, the importance of each component and to analyze the urgency for improvement of ports infrastructure and facilities related to the traditional shipping sector in Tanjung Emas Port Semarang. The research was carried out through a field survey of traditional shipping practice in Tanjung Emas Port Semarang, focusing on the condition of seven infrastructure and facility items, including pool/basin, breakwater, warehouse, clean water supply, terminal, drainage system and wharf/stacking yard. Data collection was carried out using questionnaires applied to three respondent groups, including academics, officials and practitioners. Data analysis was carried out through a descriptive method, using a classification model to determine the importance, appropriateness and priority of improvement. The research found that the pool/basin, breakwater, warehouse and clean water supply hold an absolute importance for the traditional shipping activity, while terminal, drainage system and wharf/stacking yard hold a high importance. Among the seven items, only the pool/basin was in appropriate condition. The breakwater, warehouse, clean water supply and terminal were in fairly appropriate condition, while the drainage system and wharf/stacking yard were in less appropriate condition. The finding of this research suggested that an improvement of infrastructure and facility is needed, especially for drainage system and wharf/stacking yard.","https://www.proquest.com/docview/2802556663?accountid=44943&bdid=84593&_bd=e7uB69VxQ3SB6eGQtV9pbIxjT2w%3D",""
"Multi-Modal Spatio-Temporal Knowledge Graph of Ship Management","","Zhang, Yitao; Zhang, Yitao; Xu, Ruiqing; Xu, Ruiqing; Lu, Wangping; Lu, Wangping; Mayer, Wolfgang; Da Ning; Duan, Yucong; Duan, Yucong; Zeng, Xi; Zeng, Xi; Feng, Zaiwen; Feng, Zaiwen","Applied Sciences","Scholarly Journals","","13","16","2023-01-01","2023","9393","","","20763417","","","ENG","In modern maritime activities, the quality of ship communication directly impacts the safety, efficiency, and economic viability of ship operations. Therefore, predicting and analyzing ship communication status has become a crucial task to ensure the smooth operation of ships. Currently, ship communication status analysis heavily relies on large-scale, multi-source heterogeneous data with spatio-temporal and multi-modal features, which presents challenges for ship communication quality prediction tasks. To address this issue, this paper constructs a multi-modal spatio-temporal ontology and a multi-modal spatio-temporal knowledge graph for ship communication, guided by existing ontologies and domain knowledge. This approach effectively integrates multi-modal spatio-temporal data, providing support for subsequent efficient data analysis and applications. Taking the scenario of fishing vessel communication activities as an example, the query tasks for ship communication knowledge are successfully performed using a graph database, and we combine the spatio-temporal knowledge graph with graph convolutional neural network technology to achieve real-time communication quality prediction for fishing vessels, further validating the practical value of the multi-modal spatio-temporal knowledge graph.","https://www.proquest.com/docview/2856803993?accountid=44943&bdid=84593&_bd=6IyDoYLsT2%2ByogySo47i6MZfNLM%3D","https://doi.org/10.3390/app13169393"
"Sentinel-2 Research on the Detection and Classification Methods of Maritime Ship Targets from Remote Sensing Images","","He, Junjie; Lin, Yinan; Shi, Fangzhe; Fu, Jiajun; Chen, Boning","Journal of Physics: Conference Series","Scholarly Journals","","2425","1","2023-02-01","Feb 2023","012014","","","17426588","","","ENG","There are problems such as low recognition accuracy and large classification error in the existing classification methods for ship identification based on optical remote sensing images. In this paper, we will analyze the characteristics of ships and determine the indicative factors for applying remote sensing to monitor ships in combination with optical remote sensing images. Using optical remote sensing image data, combined with U-Net and AttU-Net deep neural network models, we assist in extracting new remote sensing indices with strong generality and clear physical meaning, and establishing rules for monitoring ships, so as to establish a more general and clear physical meaning of the monitoring and identification method of remote sensing satellite images. The method is applied and evaluated with port optical remote sensing image data. The data show that compared with traditional machine learning methods, the accuracy of ship monitoring using U-Net and AttU-Net deep learning models in this paper reaches 89.04%, and the recall rate and accuracy rate are better than SVM. it shows that the model can detect ships effectively.","https://www.proquest.com/docview/2779155910?accountid=44943&bdid=84593&_bd=pn18QEUsyp%2FyylJwU98AW3txgKA%3D","https://doi.org/10.1088/1742-6596/2425/1/012014"
"The Application of Artificial Intelligence in Ocean Development: In the View of World Expo 2010","","Yu, Yang; Cheng, Zhen Xing","Applied Mechanics and Materials","Scholarly Journals","","347-350","","2013-08-01","Aug 2013","2335","","","16609336","","978-3-03785-784-7","ENG"," Under the background of global ocean development, artificial intelligence has increasing importance which urges the improvement of traditional research and exploration methods. Marine applications of artificial intelligence have been further practiced and expanded by Shanghai World Expo, which reflect in at least three major areas: firstly, the foundations of technical thought kernel, network expansion and intelligent navigation are laid in Maritime Internet of Things; secondly, in the field of far-reaching sea exploration, unmanned probe (deep-sea robot) relied on artificial intelligence technology has gradually become a major force in international competition; thirdly, as an ocean information and management comprehensive integration platform, digital ocean is applied to crack ocean information solitary island, jumbled information and other difficult problems through cooperation development, function integration and affinity services, enhancing the public ocean consciousness.","https://www.proquest.com/docview/1442323709?accountid=44943&bdid=84593&_bd=vBi54ppuN8H2bS3RPes0ai4E4aU%3D","https://doi.org/10.4028/www.scientific.net/AMM.347-350.2335"
"Understanding the paradigm shift in maritime education","The role of 4th Industrial Revolution technologies: an industry perspective","Simmons, Erica; McLean, Grace","Worldwide Hospitality and Tourism Themes","Scholarly Journals","","12","1","2020-01-01","2020","90","97","90-97","17554217","","","ENG","PurposeThe purpose of this paper is to examine the changes that will impact learners and learning in the Fourth Industrial Revolution and provide recommendations for transforming education to meet the needs of the maritime industry.Design/methodology/approachThe paper reviews the definition of the Fourth Industrial Revolution and the changes that have occurred in industry as a result. It looks at key Fourth Industrial Revolution technologies and its impacts on the maritime industry. It then presents some strategies for how the maritime education sector can begin to address the paradigm shifts that will be needed to transform education so as to focus on the advantages that can be derived from the Fourth Industrial Revolution.FindingsRapid technological advances are transforming the process of education around the world and will continue to disrupt not only the education sector but entire industries – education being only one of them. The maritime sector has some specific technologies that will drive digital transformation of business models. Maritime educational institutions around the world will need to be prepared to respond rapidly to this paradigm change and provide the skilled labour the industry will require to remain competitive.Research limitations/implicationsWhile the technologies that are impacting the Fourth Industrial Revolution have clearly been identified, the education sector still needs practical applications and integration into curriculum and learning to truly embrace the opportunities for the development of workforce competencies in this new age.Practical implicationsThe maritime education sector must now start implementing strategies to expose students to new Fourth Industrial Revolution technologies such as artificial intelligence, machine learning, robotics, blockchain and automation technology and how they are changing the future of work. A new shift in the conscious application of these game-changing technologies will be required, and examples of integration are discussed as a starting point for building a long-term plan.Social implicationsThe development of the human capital needed in the Fourth Industrial Revolution must begin now, and it presents challenges to those in the maritime education sector. It, therefore, requires that a digital transformation strategy is in place to deliver the specialized skills and new knowledge workers will need in the future.Originality/valueThis paper discusses the disruption that the Fourth Industrial Revolution technologies will bring to maritime education. One of the findings demonstrates that it clear that it is no longer competitive to ignore the disruption that is happening, and action is needed now.","https://www.proquest.com/docview/2369165646?accountid=44943&bdid=84593&_bd=qwslOseKjUKOO18uT2yj5knbtwg%3D","https://doi.org/10.1108/WHATT-10-2019-0062"
"DIGITAL SUPPLY CHAIN CHALLANGES: SMART TOOLS SUPPORTED COOPETITION AND CONTRACT SUPPORTED COOPERATION","","Faludi, Tamás","Multidiszciplinaris Tudomanyok","Scholarly Journals","","13","3","2023-01-01","2023","300","311","300-311","20629737","","","ENG","In the 21st century, the business world has begun to change. The industry 4.0 influences the whole business world. Smart tools help the real-time data-exchange, the better information-flow. The supply chains are counting many members nowadays, that is the reason why this smart tools could help the supply chain members. But this growth also includes the problem of coordination; to manage the increased number of chain members is getting to be more difficult but at least so important in the case of efficiency. To decrease the replenishment times and the delivery period, to choose the cost-saving shipping methods are just one of the most important factors to get profit across satisfying all of the customers. Supply chain coordination recommends the contracts to coordinate the relationship of chain members. There are many contract types to use, but it is a very important thing to choose the one which fits the best to the specific relationship. It means if a wrong one is chosen it will not coordinate the chain and neither the partners relationship. So the choice has strategic importance. The paper analyzes two companies; their attitudes - what do they prefer in the construction of contracts (prices, quantities, discounts, etc.), the different level of dominance - so in short the factors which influence the choice of the companies. A numerical example for the case study is also included to compare the contracts.","https://www.proquest.com/docview/2926231721?accountid=44943&bdid=84593&_bd=8Vc8HOahJYKkLQhBlOXVD84iHHQ%3D","https://doi.org/10.35925/j.multi.2023.3.30"
